Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Abraham, Ninan",University of British Columbia,British Columbia,Operating Grant,201209MOP,Immunology & Transplantation,IL-7 in Lymphocyte Development and Immunity.,"$708,740 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/04/01,"IL-7, Lymphocyte, Immunity",0,zN/A,0,zN/A,"Abraham, Ninan",
"Abraham, Ninan",University of British Columbia,British Columbia,Project Grant,201709PJT,Immunology and Transplantation 2,CD127 in the development and function of Type 2 Innate Lymphoid Cells (ILC2s).,"$1,036,575 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/04/01,"CD127, Innate Lymphoid Cells, ILC2",0,zN/A,0,zN/A,"Abraham, Ninan",
"Accili, Eric A",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cell Physiology,Regulation of HCN channel opening by cyclic nucleotides,"$371,250 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2010/10/01,"HCN, cyclic nucleotides, channel opening",0,zN/A,0,zN/A,"Accili, Eric A",
"Acker, Jason P",Canadian Blood Services (Ottawa),Ontario,Operating Grant,201009MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Preservation of red cells from cord blood as a new blood product for intrauterine and neonatal transfusions,"$209,897 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"red cells, cord blood, transfusions",0,zN/A,0,zN/A,"Acker, Jason P",
"Adamantidis, Antoine",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Optogenetic dissection of hypothalamic regulation of sleep states.,"$772,526 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/10/01,"Optogenetic, hypothalamic, sleep",0,zN/A,0,zN/A,"Adamantidis, Antoine",
"Adamko, Darryl J",University of Saskatchewan,Saskatchewan,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - predictive analytic models,Improved delivery of respiratory health care services using a metabolomic approach,"$187,000 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,9/1/2017,"respiratory, metabolomic, health",1,zN/A,0,zN/A,"Adamko, Darryl J",
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Operating Grant,201503MOP,Movement & Exercise,Does maternal physical activity affect placenta biology?  A multi-tiered approach,"$833,864 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2015/10/01,"maternal physical activity, placenta, biology",0,zN/A,0,zN/A,"Adamo, Kristi B",
"Adamo, Kristi B",University of Ottawa,Ontario,Project Grant,202104PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health 2",SmartMoms Canada: An evaluation of a mobile app intervention to support a healthy pregnancy,"$439,874 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2021/10/01,"mobile app, pregnancy, support",0,zN/A,0,zN/A,"Adamo, Kristi B",
"Adamo, Kristi B",University of Ottawa,Ontario,Project Grant,202309PJT,Movement & Exercise,"Decoding the Dynamic Interplay of Gestational Physical Activity, Microbiome, and Metabolome in Maternal-Fetal Wellbeing","$745,875 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2024/04/01,"Gestational, Microbiome, Metabolome",0,zN/A,0,zN/A,"Adamo, Kristi B",
"Adamson, S. Lee",Sinai Health System (Toronto),Ontario,Operating Grant,200809MOP,Endocrinology,"Role of placental VEGF-A and FLT1/sFLT1 in placental vascularity, fetal growth, and maternal function in mice","$1,028,010 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2009/04/01,"VEGF-A, FLT1, placental vascularity",0,zN/A,0,zN/A,"Adamson, S. Lee",
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200909MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Mechanisms of intestinal lipoprotein overproduction in insulin resistant states,"$813,990 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2010/04/01,"intestinal lipoprotein, insulin resistance, overproduction",0,zN/A,0,zN/A,"Adeli, Khosrow",
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201010MOP,Social & Developmental Aspects of Children's & Youth's Health,CALIPER: Closing the Gaps in Pediatric Reference Intervals,"$100,000 ",$0 ,1 yr 0 mth ,"Human Development, Child and Youth Health",2011/03/01,"pediatric, reference intervals, gaps",0,zN/A,0,zN/A,"Adeli, Khosrow",
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201103MOP,Social & Developmental Aspects of Children's & Youth's Health,CALIPER: A Canada-Wide Initiative to Close the Critical Gaps in Pediatric Reference Intervals,"$789,727 ",$0 ,4 yrs 0 mth ,"Human Development, Child and Youth Health",2011/10/01,"pediatric, reference intervals, gaps",0,zN/A,0,zN/A,"Adeli, Khosrow",
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,China-Canada Joint Health Research Initiative,201103CCI,China-Canada Joint Health Research Initiative - Grants Program,Molecular Mechanisms of Hepatic and Intestinal Insulin Resistance: Role of Mesenteric Fat and Ceramides,"$225,000 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",1/1/2012,"Insulin resistance, Ceramides, Hepatic",0,zN/A,0,zN/A,"Adeli, Khosrow",
"Adesida, Adetola B",University of Alberta,Alberta,Operating Grant,201209MOP,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Knee Meniscus Reconstruction Using Mesenchymal Stem Cells,"$696,183 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2013/04/01,"Knee, Meniscus, Stem Cells",0,zN/A,0,zN/A,"Adesida, Adetola B",
"Adesida, Adetola B",University of Alberta,Alberta,Project Grant,202209PJT,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Towards the development of clinically implantable bioengineered human nasal cartilage grafts,"$722,925 ",$0 ,5 yrs 0 mth ,Aging,2023/04/01,"implantable, bioengineered, nasal cartilage",0,zN/A,0,zN/A,"Adesida, Adetola B",
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,200903MOP,Experimental Medicine,Exploring the therapeutic potential of SDF-1 modulation in chronic kidney disease.,"$322,652 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"SDF-1, modulation, kidney disease",0,zN/A,0,zN/A,"Advani, Andrew",
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,200903MOP,Experimental Medicine,Exploring the therapeutic potential of SDF-1 modulation in chronic kidney disease.,"$322,652 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"SDF-1, modulation, kidney disease",0,zN/A,0,zN/A,"Advani, Andrew",
"Advani, Andrew",Unity Health Toronto,Ontario,Operating Grant,201309MOP,"Hematology, Digestive Disease & Kidney",JAK2 and podocytes in diabetic nephropathy.,"$672,439 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2014/04/01,"JAK2, podocytes, nephropathy",0,zN/A,0,zN/A,"Advani, Andrew",
"Advani, Andrew",Unity Health Toronto,Ontario,Project Grant,201903PJT,"Hematology, Digestive Disease & Kidney",Reshaping the epigenetic landscape to improve outcomes after acute kidney injury,"$929,476 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2019/10/01,"epigenetic, kidney injury, outcomes",0,zN/A,0,zN/A,"Advani, Andrew",
"Advani, Andrew",Unity Health Toronto,Ontario,Project Grant,202203PJT,"Hematology, Digestive Disease & Kidney",Taking the Sting out of acute kidney injury in diabetes,"$1,040,400 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/10/01,"kidney injury, diabetes, sting",0,zN/A,0,zN/A,"Advani, Andrew",
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Operating Grant,201103MOP,Biochemistry & Molecular Biology - B,Transcriptional regulation by a novel deubiquitinase multi-protein complex,"$637,463 ",$0 ,5 yrs 0 mth ,Genetics,2011/10/01,"deubiquitinase, transcriptional regulation, protein complex",0,zN/A,0,zN/A,"Affar, El Bachir",
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,"Catalyst Grant - CEEHRC Epigenetics, Environment & Health",201111CAP,"Catalyst Grant: CEEHRC Epigenetics, Environment and Health",Characterization of novel epigenetic marks,"$100,000 ",$0 ,1 yr 0 mth ,Genetics,3/1/2012,"epigenetic, marks, characterization",0,zN/A,0,zN/A,"Affar, El Bachir",
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Project Grant,201803PJT,Biochemistry & Molecular Biology - B,Novel ubiquitin signaling pathways regulating ASXL family of transcription co-factors,"$1,028,926 ",$0 ,5 yrs 0 mth ,Genetics,2018/10/01,"ubiquitin, signaling, transcription co-factors",0,zN/A,0,zN/A,"Affar, El Bachir",
"Affar, El Bachir",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Project Grant,202104PJT,Cell Biology - Molecular/Fundamental,Novel regulatory mechanisms of the mammalian nuclear proteasome through liquid-liquid phase separation,"$952,426 ",$0 ,5 yrs 0 mth ,Genetics,2021/10/01,"nuclear proteasome, phase separation, regulation",0,zN/A,0,zN/A,"Affar, El Bachir",
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201203MOP,Clinical Investigation - D: Cardiovascular Systems,Measurement of Frailty to Identify High-Risk Elderly Patients Referred for Surgical and Transcatheter Aortic Valve Replacement,"$360,219 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2012/10/01,"Frailty, Elderly, Aortic Valve",0,zN/A,0,zN/A,"Afilalo, Jonathan",
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,201909PJT,Clinical Investigation - D: Cardiovascular Systems,Geriatric Intervention for Frail Heart Failure patients: The GIF-HF Trial,"$428,400 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2020/04/01,"Geriatric, Heart Failure, Intervention",0,zN/A,0,zN/A,"Afilalo, Jonathan",
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Op Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,202104GA4,Operating Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,Impact of Frailty and Sarcopenia on Post-COVID Recovery,"$470,179 ",$0 ,1 yr 0 mth ,Aging,6/1/2021,"Frailty, Sarcopenia, Post-COVID",0,zN/A,0,zN/A,"Afilalo, Jonathan",
"Afilalo, Jonathan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202209PJT,Clinical Investigation - D: Cardiovascular Systems,Opportunistic Biomarkers of Frailty in Acute Cardiac Care,"$587,137 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2023/04/01,"Biomarkers, Frailty, Cardiac",0,zN/A,0,zN/A,"Afilalo, Jonathan",
"Agarwal, Sri Mahavir",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,202104PJT,Behavioural Sciences - B-2,Metformin for Antipsychotic-induced Weight Gain in Adults with Intellectual Disability Study: a Double-Blind Randomized Control Trial,"$761,175 ",$0 ,4 yrs 6 mths ,"Neurosciences, Mental Health and Addiction",2021/10/01,"Metformin, Antipsychotic, Weight Gain",0,zN/A,0,zN/A,"Agarwal, Sri Mahavir",
"Agharazii, Mohsen",Universite Laval,Quebec,Project Grant,201903PJT,Clinical Investigation - D: Cardiovascular Systems,Arterial stiffness gradient as a new index of vascular aging: impact of blood pressure lowering medication,"$378,676 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2019/10/01,"arterial stiffness, vascular aging, blood pressure",0,zN/A,0,zN/A,"Agharazii, Mohsen",
"Agharazii, Mohsen",Universite Laval,Quebec,Op Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,202104GA4,Operating Grant: Emerging COVID-19 Research Gaps & Priorities - Post COVID-19 condition,Covid-19 effects on ARTErial StIffness and vascular AgiNg (CARTESIAN) study- Canada,"$347,260 ",$0 ,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",6/1/2021,"Covid-19, arterial stiffness, vascular aging",0,zN/A,0,zN/A,"Agharazii, Mohsen",
"Aghazadeh, Yasaman",Institut de recherches cliniques de Montreal,Quebec,Project Grant,202309PJT,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Recapitulating beta cell development adjacent to the islet vascular niche to advance beta cell replacement therapies for type 1 diabetes.,"$1,051,875 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/04/01,"beta cell, islet vascular, replacement",0,zN/A,0,zN/A,"Aghazadeh, Yasaman",
"Agrawal, Babita",University of Alberta,Alberta,Operating Grant,200809MOP,Experimental Medicine,Immune responses and regulation in hepatitis C virus infection: Implications for immunotherapy,"$602,481 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/04/01,"immune, hepatitis C, immunotherapy",4,zN/A,0,zN/A,"Agrawal, Babita",
"Agrawal, Babita",University of Alberta,Alberta,Project Grant,202003PJT,Pharmaceutical Sciences,Investigation of novel host-based approaches for the treatment of tuberculosis,"$787,950 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2020/10/01,"host, tuberculosis, approaches",1,zN/A,0,zN/A,"Agrawal, Babita",
"Aguilar Valles, Argel",Carleton University (Ottawa),Ontario,Project Grant,202303PJT,Pharmacology & Toxicology,Identifying the molecular determinants of ketamine's antidepressant action,"$929,476 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"ketamine, antidepressant, molecular",0,zN/A,0,zN/A,"Aguilar Valles, Argel",
"Ahern, Christopher A",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cardiovascular System - A: Cells and Tissues,Basis for Calcium Regulation of Cardiac Sodium Channels,"$649,994 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"Calcium, Sodium channels, Cardiac",4,zN/A,0,zN/A,"Ahern, Christopher A",
"Ahmad Khan, Faiz",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202109PJT,Indigenous Health Research,Chest Radiography and TB Elimination in Nunavik: novel solutions to fill gaps and strengthen regional capacity,"$393,974 ",$0 ,3 yrs 0 mth ,Indigenous Peoples' Health,2022/04/01,"Chest, Radiography, TB",0,zN/A,0,zN/A,"Ahmad Khan, Faiz",
"Ahmed, Sara",McGill University,Quebec,Catalyst Grant: Primary and Community-Based Healthcare,200910PCH,Catalyst Grant: Primary and Community-Based Healthcare,Informing changes in primary healthcare service delivery: Advances in estimating longitudinal changes in patient reported outcomes,"$99,789 ",$0 ,1 yr 0 mth ,Aging,3/1/2010,"healthcare, patient outcomes, service delivery",0,zN/A,0,zN/A,"Ahmed, Sara",
"Ahmed, Sara",McGill University,Quebec,Catalyst Grant: Pilot Projects in Aging - Social Dimensions of Aging,201009IAD,Institute of Aging Pilot Projects - Social Dimensions,Empowering patient decision making and health management: evaluating individual preferences and willingness to adopt health information technologies.,"$48,341 ",$0 ,1 yr 0 mth ,Aging,3/1/2011,"patient, health information, decision making",0,zN/A,0,zN/A,"Ahmed, Sara",
"Ahmed, Sofia B",University of Calgary,Alberta,Project Grant,202203PJT,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Gender-affirming estrogen therapy and kidney function in transgender women,"$325,124 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2022/10/01,"estrogen, kidney, transgender",0,zN/A,0,zN/A,"Ahmed, Sofia B",
"Aita, Marilyn","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202109PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Effets d'une intervention de proximite mere-premature et de calme (NeuroN-QI) sur le neurodeveloppement de nouveau-nes prematures : un essai clinique randomise,"$443,700 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"neurodeveloppement, premature, intervention",0,zN/A,0,zN/A,"Aita, Marilyn",
"Akay, Turgay",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201809PJT,Movement & Exercise,Sensory control of muscle synergies during walking,"$688,500 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/04/01,"sensory control, muscle synergies, walking",0,zN/A,0,zN/A,"Akay, Turgay",
"Akimenko, Marie-Andree",University of Ottawa,Ontario,Operating Grant,201309MOP,Developmental Biology,Zebrafish fin regeneration: Cellular mechanisms.,"$622,330 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2014/04/01,"Zebrafish, fin, regeneration",0,zN/A,0,zN/A,"Akimenko, Marie-Andree",
"Akimenko, Marie-Andree",University of Ottawa,Ontario,Project Grant,201903PJT,Developmental Biology,Zebrafish fin regeneration: Cellilar mechanisms.,"$619,650 ",$0 ,5 yrs 0 mth ,Genetics,2019/10/01,"Zebrafish, fin, regeneration",0,zN/A,0,zN/A,"Akimenko, Marie-Andree",
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,200809MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Anomalies dans le contrele de la reponse des cellules endometriales e l'IL-1 : rele dans la physiopathologie de l'endometriose.,"$615,074 ",$0 ,5 yrs 0 mth ,Gender and Health,2009/04/01,"endometrial cells, IL-1, physiopathology",0,zN/A,0,zN/A,"Akoum, Ali",
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,201110MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Defective prostaglandin biosynthesis pathways and abnormal crosstalk at the endometrial/peritoneal interface: role in the pathophysiology of endometriosis.,"$100,000 ",$0 ,1 yr 0 mth ,Gender and Health,2012/03/01,"prostglandin, biosynthesis, endometriosis",0,zN/A,0,zN/A,"Akoum, Ali",
"Akoum, Ali",Universite Laval,Quebec,Operating Grant,201203MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Defective prostaglandin biosynthesis pathways and abnormal crosstalk at the endometrial/peritoneal interface: role in the pathophysiology of endometriosis.,"$715,060 ",$0 ,5 yrs 0 mth ,Gender and Health,2012/10/01,"prostglandin, biosynthesis, endometriosis",0,zN/A,0,zN/A,"Akoum, Ali",
"Al Batran, Rami",Universite de Montreal,Quebec,Project Grant,202403PJT,"Hematology, Digestive Disease & Kidney",Exploring the Hepatoprotective Actions of Sodium-glucose Cotransporter 2 (SGLT2) Inhibitors,"$852,976 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2024/10/01,"Hepatoprotective, Sodium-glucose Cotransporter 2, SGLT2",0,zN/A,0,zN/A,"Al Batran, Rami",
"Al-Awar, Rima S","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Project Grant,202010PJT,Pharmaceutical Sciences,The Discovery and Optimization of NUAK Inhibitors: A Novel Approach to Target Hippo Pathway Driven Cancers,"$520,199 ",$0 ,3 yrs 0 mth ,Cancer Research,2021/03/01,"NUAK, Inhibitors, Hippo Pathway",2,zN/A,0,zN/A,"Al-Awar, Rima S",
