Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Eizenman, Moshe",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Objective assessment of visual acuity in pre-verbal subjects,"$176,798",$0,,,3 yrs 0 mth ,"visual acuity, assessment, pre-verbal",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,3
"Piret, James M",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Raman Spectroscopy Analysis to Improve the Validation of Cell Therapy Manufacturing Processes,"$233,800",$0,,,3 yrs 0 mth ,"Raman Spectroscopy, Cell Therapy, Manufacturing","Nutrition, Metabolism and Diabetes",MULTIDISCIPLINARY; MULTIPLE DISEASE RELEVANCE; CELL BIOLOGY; METABOLISM/DIABETES,2017-04-01,2020-03-31,0
"Thomas, David Y",McGill University,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Therapeutic development of cystic fibrosis correctors,"$480,000",$0,,,2 yrs 0 mth ,"cystic fibrosis, correctors",Circulatory and Respiratory Health,RESPIRATION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MOLECULAR BIOLOGY; HEALTH RESEARCH,2009-10-01,2011-09-30,5
"Pawliszyn, Janusz B",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Supervised in vivo lung perfusion strategy for treatment of cancer metastases to the lungs. Real time monitoring of chemotherapy by on-site analytical platform,"$431,583",$0,,,3 yrs 0 mth ,"lung perfusion, cancer metastases, chemotherapy",Cancer Research,LUNG CANCER THERAPY; MULTIDISCIPLINARY; CANCER; RESPIRATION,2016-04-01,2019-03-31,0
"Healey, Jeff S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Prevalence of Sub-Clinical Atrial Fibrillation in Patients with Cardiovascular Risk Factors Detected Using an Implantable Loop Recorder (ASSERT-2),"$136,535",$0,,,3 yrs 0 mth ,"Atrial Fibrillation, Implantable Loop Recorder, Cardiovascular Risk",Circulatory and Respiratory Health,"ARRHYTHMIAS; STROKE, HEART FAILURE",2012-10-01,2015-09-30,0
"Kolios, Michael C",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Characterization of blood storage lesions using photoacoustic technologies,"$242,595",$0,,,3 yrs 0 mth ,"blood, photoacoustic, lesions",Circulatory and Respiratory Health,BLOOD; ANAEMIAS; BIOPHYSICS,2014-04-01,2017-03-31,3
"Melnyk, Roman",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,Discovery and Development of Small Molecule Toxin Antagonists to Treat C. difficile-Associated Disease,"$499,795",$0,,,5 yrs 0 mth ,"Small Molecule, Toxin, C. difficile",Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; GASTRO-INTESTINAL DISEASE; DRUG RESEARCH; CELL BIOLOGY,2013-04-01,2018-03-31,6
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,"The Phone Oximeter: A simple, mobile device for respiratory disease management in the community","$216,408",$0,,,3 yrs 0 mth ,"Oximeter, respiratory, mobile",,,2011-04-01,2014-03-31,2
"Hinz, Boris",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,High-throughput screening of cell contraction for applications in regenerative medicine and drug testing,"$287,484",$0,,,3 yrs 0 mth ,"high-throughput, cell contraction, regenerative medicine",,,2012-04-01,2015-03-31,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",,,2008-10-01,2011-09-30,3
"Wang, Yuzhuo",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,"Next generation patient-derived, genetically-defined kidney and bladder cancer xenograft models for anti-cancer drug development","$489,800",$0,,,4 yrs 0 mth ,"kidney, bladder, xenograft",Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER; HEALTH SERVICES RESEARCH,2015-10-01,2019-09-30,1
"O'Brien, Edward R",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Vascular Health and Disease: New Concepts & Therapeutic Opportunities,"$623,749",$0,,,5 yrs 0 mth ,"Vascular, Health, Disease",Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOLOGY; CARDIOVASCULAR; MOLECULAR BIOLOGY,2011-04-01,2016-03-31,4
"Morrison, Katherine Mary",McMaster University,Ontario,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Family Centred E-Health in Pediatric Weight Management: A Pilot Study,"$95,918",$0,,,1 yr 0 mth ,"E-Health, Pediatric, Weight",Health Services and Policy Research,HEALTH CARE DELIVERY; OBESITY; HEALTH SERVICES RESEARCH; METABOLISM/DIABETES,2013-03-01,2014-02-28,0
"Tibbits, Glen F","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Optical mapping of the neonate heart to determine the etiology of Junctional Ectopic Tachycardia,"$297,150",$0,,,3 yrs 0 mth ,"Optical mapping, neonate heart, Junctional Ectopic Tachycardia",,,2011-04-01,2014-03-31,0
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201003IRO,Industry Partnered Collaborative Research,Establishment of A New Database of Pediatric Laboratory Reference Intervals for Biomarkers of Pediatric Disease,"$66,196",$0,,,1 yr 0 mth ,"database, biomarkers, pediatric disease","Human Development, Child and Youth Health",BLOOD; HEALTH SERVICES RESEARCH; BIOCHEMISTRY; POPULATION HEALTH,2010-10-01,2011-09-30,0
"Santerre, Paul",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Novel adhesive polymeric membranes for binding degradable composite materials to bone in craniomaxillofacial repair,"$260,200",$0,,,3 yrs 0 mth ,"adhesive, polymeric membranes, craniomaxillofacial",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; INJURY, REGENERATION; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",2017-04-01,2020-03-31,2
"Allingham, John S","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Preclinical Development of Natural Product-Based Agents as Anti-Cancer Drugs,"$206,646",$0,,,3 yrs 0 mth ,"Natural products, Anti-cancer, Agents",Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,2014-04-01,2017-03-31,1
"Stelfox, Henry T",University of Calgary,Alberta,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Developing an Electronic Decision Support and Communication Tool for Intensive Care Unit Discharge,"$98,460",$0,,,1 yr 0 mth ,"Electronic, Decision Support, Intensive Care",Health Services and Policy Research,HEALTH SERVICES RESEARCH; HEALTH CARE DELIVERY; HEALTH RESEARCH,2013-03-01,2014-02-28,0
"Pelletier, Joelle N",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Clinical evaluation of surface-plasmon resonance and nanoparticle-based fluorescent detection of serum biomarkers,"$328,059",$0,,,3 yrs 0 mth ,"surface-plasmon resonance, nanoparticle, biomarkers",Genetics,PROSTATE AND BLADDER CANCER THERAPY; LEUKAEMIAS; CANCER; BIOCHEMISTRY,2013-04-01,2016-03-31,0
"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Innovative vascular implants based on electrospinning and bioactive coatings,"$305,350",$0,,,3 yrs 0 mth ,"vascular, electrospinning, bioactive",Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOLOGY; CARDIOVASCULAR,2013-04-01,2016-03-31,2
"Cahill, Catherine M","Queen's University (Kingston, Ontario)",Ontario,CIHR/RxD - Biology of Pain -Young Investigators Grant,200810XCP,Industry Partnered Collaborative Research,Opioids modify glial activity in models of chronic pain and opioid  tolerant states,"$54,351",$0,,,2 yrs 0 mth ,"opioids, glial, pain",Aging,AGING; MENTAL AND BEHAVIOURAL DISEASES; MOLECULAR BIOLOGY,2009-04-01,2011-03-31,0
"Langley, Joanne M",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Preventing Respiratory Syncytial Virus (RSV) infection with a novel antigen-adjuvant platform,"$193,512",$0,,,2 yrs 0 mth ,"Respiratory Syncytial Virus, antigen, adjuvant",Infection and Immunity,INFECTIOUS AND PARASITIC; HEALTH RESEARCH,2013-10-01,2015-09-30,0
"Semple, John L",Women's College Hospital (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),Replacing ambulatory clinic follow-up with remote home monitoring using smartphones in breast reconstruction patients: Is it cost-effective?,"$38,042","$1,861",,,1 yr 0 mth ,"remote monitoring, smartphones, breast reconstruction",Health Services and Policy Research,HEALTH ECONOMICS; BREAST CANCER; HEALTH SERVICES RESEARCH,2014-03-01,2015-02-28,0
"Yee, Albert J",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,"Image-guided Radiofrequency Ablation (RFA) - Development, Validation, and Integration of Multimodality Treatment Planning for Vertebral Tumors","$165,000",$0,,,3 yrs 0 mth ,"Image-guided, Radiofrequency Ablation, Tumors",Cancer Research,"MULTIDISCIPLINARY; BONE CANCER; CANCER; MUSCLE, BONE, OR JOINT",2016-04-01,2019-03-31,0
"Fedida, David",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Discovery & Development of Novel Small Molecule Inhibitors of Viroporin Proteins for the Treatment of Acute & Chronic Viral Infections.,"$576,493",$0,,,3 yrs 0 mth ,"Small Molecule, Viroporin Proteins, Viral Infections",Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; BIOPHYSICS,2012-10-01,2015-09-30,0
"Orvig, Christopher E",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Theranostic Vectors to Treat Cancer with Radiometals,"$359,446",$0,,,3 yrs 0 mth ,"Theranostic, Vectors, Radiometals",Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,2016-04-01,2019-03-31,0
"Santerre, Paul",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Degradable Cardiac Patch with Immuno-modulatory function,"$273,483",$0,,,3 yrs 0 mth ,"Cardiac, Degradable, Immuno-modulatory",Circulatory and Respiratory Health,"STROKE, HEART FAILURE; MYOCARDIAL INFARCTION; CARDIOVASCULAR; HEALTH RESEARCH",2017-04-01,2020-03-31,3
"Campbell, Melanie Crombie W",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Novel Diagnostic Methods for Imaging Amyloid Beta in the eye in association with alzheimer's disease,"$245,026",$0,,,3 yrs 0 mth ,"Amyloid Beta, Imaging, Alzheimer's",,,2012-04-01,2015-03-31,1
"Turner, Justine M",University of Alberta,Alberta,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Omega-3 Fatty Acids for Treatment of Intestinal Failure Associated Liver Disease: A Translational Research Study,"$131,484",$0,,,3 yrs 0 mth ,"Omega-3, Fatty Acids, Liver Disease","Nutrition, Metabolism and Diabetes",LIVER DISEASE; MALNUTRITION; NUTRITION; GASTROINTESTINAL (LIVER),2011-04-01,2014-03-31,0
"Reisner, Walter W",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Nanoconfinement Based Single-Cell Cytogenetic Platform for Pre-/Post-Implantation Genetic Diagnosis,"$219,185",$0,,,3 yrs 0 mth ,"Nanoconfinement, Single-Cell, Cytogenetics",Genetics,"PREGNANCY/BIRTH; MULTIDISCIPLINARY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2013-04-01,2016-03-31,0
"Dunn, Jeff F",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Application of functional near-infrared imaging as a biomarker of injury and recovery in mild traumatic brain injury and concussion,"$249,682",$0,,,3 yrs 0 mth ,"near-infrared imaging, biomarker, brain injury","Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; MENTAL AND BEHAVIOURAL DISEASES; IMAGING; MENTAL HEALTH,2015-04-01,2018-03-31,0
"Teo, Koon K",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,"A randomized double-blind placebo-controlled trial for the evaluation of a polypill, a low dose aspirin and vitamin D supplementation in primary prevention to reduce cardiovascular disease (CVD) outcomes - The International Polycap Study 3 (TIPS-3)","$810,452",$0,,,5 yrs 0 mth ,"polypill, aspirin, cardiovascular disease",Circulatory and Respiratory Health,POPULATION HEALTH; CARDIOVASCULAR; CANCER,2012-04-01,2017-03-31,0
"Burns, Karen E",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Practice Pattern Variation in Discontinuing Mechanical Ventilation in Critically Ill Adults: An International Study.,"$85,000",$0,,,3 yrs 0 mth ,"Mechanical Ventilation, Practice Pattern, Critically Ill",Population and Public Health,HEALTH CARE DELIVERY; RESPIRATION; INTERNATIONAL HEALTH,2011-10-01,2014-09-30,0
"Radisic, Milica",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Platform technology for maturation of human stem cell derived cardiomyocytes and cardiotoxicity screening,"$149,788",$0,,,3 yrs 0 mth ,"stem cells, cardiomyocytes, cardiotoxicity",Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR; DRUG RESEARCH,2016-04-01,2019-03-31,4
"Cafazzo, Joseph A",University Health Network (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Design and Evaluation of an mHealth Behavioural Intervention for the Self-Management of Type 2 Diabetes Mellitus,"$99,350",$0,,,1 yr 0 mth ,"mHealth, Behavioural Intervention, Diabetes","Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; HEALTH CARE DELIVERY; METABOLISM/DIABETES; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.,2013-03-01,2014-02-28,0
"Palmer, Michael",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Novel daptomycin-derived lipopeptide antibiotics for overcoming resistance in gram-positive bacteria,"$210,014",$0,,,3 yrs 0 mth ,"daptomycin, lipopeptide, antibiotics",,,2011-04-01,2014-03-31,0
