Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Biocompatible inorganic nanogel system for medical applications,"Tamimi, Faleh",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,150160,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INJURY, REGENERATION; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH",4/1/2013,2014-03-31,"Biocompatible, nanogel, inorganic",0
Design Revisions and Validations of a Catheter Steering and Navigation System For Peripheral Endovascular Revascularization,"Tavallaei, Mohammad A",Toronto Metropolitan University,Ontario,Project Grant,202403PJT,Commercialization,501076,0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2027-09-30,"Catheter, Steering, Revascularization",0
Development of anti-S100 proteins for the treatment of arthritis,"Tessier, Philippe A",Universite Laval,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,142600,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; CHRONIC INFLAMMATORY BOWEL DISEASE; IMMUNOLOGY-TRANSPLANTATION; MUSCLE, BONE, OR JOINT",7/1/2009,2010-06-30,"S100 proteins, arthritis",6
"Development of a Proprietary, Glass-Based Adhesive for Sternal Fixation and Stabilisation.","Towler, Mark R",Toronto Metropolitan University,Ontario,Project Grant,201803PJT,Commercialization,602438,0,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Musculoskeletal Health-Bone, Skin and Cartilage Sciences",10/1/2018,2021-09-30,"Glass, Adhesive, Sternal",0
Development of a treatment for Friedreich ataxia based on the administration of TALE proteins targeting the frataxin promoter.,"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,160000,0,1 yr 0 mth ,Genetics,CONGENITAL ANOMALIES; MOLECULAR BIOLOGY,4/1/2013,2014-03-31,"Friedreich ataxia, TALE proteins, frataxin",4
Alzheimer treatment based on the editing of the Amyloid Precursor Protein gene,"Tremblay, Jacques P",Universite Laval,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,159931,0,1 yr 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; MOLECULAR BIOLOGY; GENETICS,10/1/2015,2016-09-30,"Alzheimer, gene editing, Amyloid Precursor Protein",1
Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,"Tremblay, Michel L",McGill University,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,158850,0,1 yr 0 mth ,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER THERAPY; BIOCHEMISTRY; DRUG RESEARCH,10/1/2010,2011-09-30,"small molecule, tyrosine phosphatases, inhibitors",4
Targeting novel BioNanofluids for prostate cancer therapy,"Trifiro, Mark A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,148240,11000,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY,4/1/2015,2016-03-31,"BioNanofluids, prostate cancer, targeting",0
Benchmark proprietary pyridine- and thienopyrimidine-based bisphosphonates against the standard of care drug Zometae in the treatment of multiple myeloma,"Tsantrizos, Youla S",McGill University,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BONE CANCER THERAPY; DRUG RESEARCH; CANCER,4/1/2014,2015-03-31,"pyridine, bisphosphonates, myeloma",2
Development of a monoclonal antibody for integrin alpha-11 to treat lung cancer,"Tsao, Ming-Sound",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,LUNG CANCER; LUNG CANCER THERAPY; CANCER; DRUG RESEARCH,4/1/2015,2016-03-31,"monoclonal antibody, integrin alpha-11, lung cancer",0
Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,"Turvey, Stuart E",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,7/1/2009,2010-06-30,"TLR5, antagonist, cystic fibrosis",0
New Treatment of Blood Cancers with Improved Delivery of Nucleic Acids,"Uludag, Hasan",University of Alberta,Alberta,Project Grant,202210PJT,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",4/1/2023,2024-03-31,"Blood cancers, Nucleic acids, Delivery",0
Novel Applications of Potassium Channel Blockers in Arthritis,"Underhill, Michael",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,146400,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; AGING",4/1/2011,2012-03-31,"Potassium Channel, Blockers, Arthritis",0
Commercialization of RNA Mango fluorogenic aptamers: RNA Pulldown and Imaging Tools for Therapeutic and Diagnostic pipelines,"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202210PJT,Commercialization,100000,0,1 yr 0 mth ,Infection and Immunity,"Commercialization-Intellectual Property; Commercialization-Technology Transfer; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",4/1/2023,2024-03-31,"RNA, Fluorogenic, Imaging",0
Developing a potent non-addictive analgesic as an alternative to conventional opioids,"Vanner, Stephen J","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202303PJT,Commercialization,665550,0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Neurosciences-Sensory Systems (including visual, auditory and pain)",10/1/2023,2026-09-30,"analgesic, opioids, non-addictive",0
Evaluation of BRCA1 as a Novel Therapeutic Strategy for Endothelial Dysfunction and Atherosclerosis,"Verma, Subodh S",Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,149998,0,1 yr 0 mth ,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,7/1/2009,2010-06-30,"BRCA1, Endothelial Dysfunction, Atherosclerosis",1
Tissue engineered cartilage suitable for the repair of clinically-relevant sized defects,"Waldman, Stephen D","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,148139,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; ARTHRITIS/OSTEOARTHRITIS; MUSCLE, BONE, OR JOINT; BIOPHYSICS",4/1/2010,2011-03-31,"tissue engineering, cartilage, repair",1
Development of preclinical data for a phase one clinical trial of a micro-RNA-based formulation to treat early sepsis,"Walker, Gilbert C",University of Toronto,Ontario,Project Grant,202403PJT,Commercialization,508725,0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Respiratory System Pathologies and Clinical Interventions; Commercialization-Technology Transfer; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",10/1/2024,2026-09-30,"micro-RNA, sepsis, formulation",1
Total liquid ventilation improves respiratory and neurological outcomes in newborn lambs with severe respiratory failure,"Walti, Herve",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,159252,0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; PERINATAL; NOT CLASSIFIED,10/1/2012,2013-09-30,"liquid ventilation, respiratory failure, neurological outcomes",0
Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant,202109PJT,Commercialization,1147500,0,5 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Cancer-Cancer Drug Development and Therapeutics,4/1/2022,2027-03-31,"MCT4, small molecule, inhibitors",0
Development of a Novel Oral Amphotericin B Formulation for the Treatment of Systemic Fungal Infections,"Wasan, Kishor M",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,200000,0,1 yr 0 mth ,Infection and Immunity,null,1/1/2010,2009-12-31,"Amphotericin B, oral formulation, fungal infections",5
Contact Optical Microscopy,"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,148684,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMAGING; INTERNATIONAL HEALTH,4/1/2010,2011-03-31,"Contact, Optical, Microscopy",2
Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,"Weaver, Donald F",IWK Health Centre (Halifax),Nova Scotia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2010,2011-03-31,"Pharmacokinetic, Drug, Alzheimer's",4
"Design and Development of Brain Permeant Indoleamine-2,3-Dioxygenase Inhibitors","Weaver, Donald F",University Health Network (Toronto),Ontario,Project Grant,201709PJT,Commercialization,765000,0,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Neurosciences-Neurological disorders",4/1/2018,2022-03-31,"brain, indoleamine-2,3-dioxygenase, inhibitors",1
Pre-clinical development of Pentarix: a therapeutic vaccine for HPV-associated cancers,"Webb, John R",University of Victoria (British Columbia),British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,10/1/2010,2011-09-30,"Pentarix, vaccine, HPV",1
Small molecule inhibitor of polynucleotide kinase/phosphatase and uses thereof in cancer treatment.,"Weinfeld, Michael",University of Alberta,Alberta,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2010,2011-03-31,"small molecule, polynucleotide kinase, cancer",3
Implementation and Commercialization of a Novel DNA Methylation-Based Diagnostic Tool,"Weksberg, Rosanna",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Human Development, Child and Youth Health","DETERMINANTS OF HEALTH; MENTAL AND BEHAVIOURAL DISEASES; GENETICS; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2015,2016-09-30,"DNA methylation, diagnostic, tool",2
"""""""Bone Tape"""": Optimization of a novel method for reconstructing the craniomaxillofacial skeleton""","Whyne, Cari M","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",4/1/2016,2017-03-31,"bone, craniomaxillofacial, reconstruction",2
3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,"Willerth, Stephanie M",University of Victoria (British Columbia),British Columbia,Project Grant,202104PJT,Commercialization,489600,0,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Molecular, Cellular and Systems Biology-Cell Differentiation",10/1/2021,2025-09-30,"bioprinting, brain organoids, Alzheimer's",0
The Production of Decellularized Human Skin to Treat Chronic Diabetic Ulcers,"Williams, Jason",Nova Scotia Health Authority (Halifax),Nova Scotia,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,145760,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DIABETES MELLITUS; SKIN AND SUBCUTANEOUS TISSUS; HEALTH RESEARCH; METABOLISM/DIABETES,4/1/2014,2015-03-31,"Decellularized, Human Skin, Diabetic Ulcers",0
Development of a test for the early diagnosis and monitoring of lupus nephritis,"Wither, Joan E",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,160000,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"LUPUS; GENITO/URINARY SYSTEM; MUSCLE, BONE, OR JOINT; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2016,2017-03-31,"lupus, nephritis, diagnosis",1
Novel mechanism-based inhibitors of influenza neuraminidase as potential anti-viral agents,"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,150000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; POPULATION HEALTH,4/1/2010,2011-03-31,"neuraminidase, inhibitors, influenza",5
Novel Influenza Neuraminidase Inhibitors - Development of Orally Bioavailable Agents,"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,297000,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; POPULATION HEALTH,10/1/2012,2013-09-30,"Influenza, Neuraminidase, Inhibitors",5
Extending circulation time of protein therapeutics by capping glycan structures with 7F-Sialic acids,"Withers, Stephen G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,159981,0,1 yr 0 mth ,Genetics,MULTIDISCIPLINARY; BIOCHEMISTRY,4/1/2015,2016-03-31,"protein, glycan, sialic acids",5
Novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castration-resistant prostate cancer,"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,159750,0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,10/1/2010,2011-09-30,"antiandrogens, androgen receptor, prostate cancer",4
Development of novel pan-inhibitors of the androgen receptor variants as effective therapeutics for castration-resistant prostate cancer,"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,10/1/2015,2016-09-30,"androgen receptor, pan-inhibitors, prostate cancer",2
Preclinical evaluation of multifunctional polymer nanoparticles for targeted brain cancer therapy,"Wu, Xiao Yu S",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,4/1/2014,2015-03-31,"polymer nanoparticles, brain cancer, targeted",2
Development of a Smart Tumor-Activated Nanodiagnostic System for Sensitive Detection of Solid Tumors and Metastases,"Wu, Xiao Yu S",University of Toronto,Ontario,Project Grant,201809PJT,Commercialization,470475,0,3 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging,4/1/2019,2022-03-31,"Nanodiagnostic, Tumor-Activated, Detection",0
Doppler Optical Coherence Tomography for Intraoperative Imaging During Skull Base Neurosurgical Procedures,"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,149984,0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; BIOPHYSICS,4/1/2010,2011-03-31,"Doppler, Optical Coherence Tomography, Neurosurgical",6
Integrated Surgical Lighting and Navigation System,"Yang, Victor X",Toronto Metropolitan University,Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,156230,2200,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MULTIDISCIPLINARY; IMAGING; MUSCLE, BONE, OR JOINT",10/1/2013,2014-09-30,"Surgical lighting, Navigation system",21
A field-deployable malaria and fever diagnostic system,"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,143250,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; INTERNATIONAL HEALTH,4/1/2014,2015-03-31,"malaria, diagnostic, fever",0
Long-term preservation of a whole parasite malaria vaccine for storage and delivery in the tropics,"Yanow, Stephanie K",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; BLOOD; INTERNATIONAL HEALTH; HEALTH RESEARCH,4/1/2015,2016-03-31,"parasite, malaria, vaccine",0
Commercializing a novel platform for delivery of antisense oligonucleotide-mediated therapy,"Yokota, Toshifumi",University of Alberta,Alberta,Project Grant,202203PJT,Commercialization,1009800,0,5 yrs 0 mth ,Genetics,Genetics-Clinical Genetics,10/1/2022,2027-09-30,"antisense, oligonucleotide, delivery",3
Minimally-Invasive Method of Selectively Activating Posterior Tibial Nerve Afferents for Treating Overactive Bladder,"Yoo, Paul",University of Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,155800,4000,1 yr 0 mth ,Aging,"GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",10/1/2015,2016-09-30,"Minimally-Invasive, Posterior Tibial Nerve, Overactive Bladder",19
Development of a novel conjugate drug for local delivery in bone grafts: Efficacy study on vascularization and osteogenesis after local delivery in a dental implant jaw model,"Young, Robert N","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,157500,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; DENTAL SCIENCE - Oral Biology,4/1/2015,2016-03-31,"conjugate drug, bone grafts, osteogenesis",6
Development of the first pre-operative serum exosomal miRNA test to guide treatment decision in prostate cancer,"Yousef, George M",Unity Health Toronto,Ontario,Project Grant,201809PJT,Commercialization,573752,0,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,4/1/2019,2023-03-31,"exosomal, miRNA, prostate cancer",1
Arrays of constrained histone tail mimetics for the development of epigenetic anticancer drugs,"Yudin, Andrei",University of Toronto,Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,85712,74288,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,10/1/2011,2012-09-30,"histone, mimetics, epigenetic",0
"Vegaven, a novel lipid emulsion with unique superior biological actions designed for parenteral nutrition","Zaugg, Michael",University of Alberta,Alberta,Project Grant,202303PJT,Commercialization,818550,0,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",Commercialization-Intellectual Property,10/1/2023,2026-09-30,"lipid emulsion, parenteral nutrition, biological actions",0
Development of a laser Raman spectroscopy system for melanoma detection,"Zeng, Haishan",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,244071,48211,1 yr 0 mth ,Cancer Research,MULTIDISCIPLINARY; SKIN AND SUBCUTANEOUS TISSUS; CANCER; IMAGING,4/1/2011,2012-03-31,"laser, Raman spectroscopy, melanoma",9
Real-time Endoscopic Raman Spectroscopy for Improving Dysplasia/Colorectal Cancer Detection in Patients with Inflammatory Bowel Diseases,"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,508724,0,4 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology",4/1/2018,2022-03-31,"Raman Spectroscopy, Endoscopic, Colorectal Cancer",1
Autofluorescence Imaging Guided Laser Raman Spectroscopy for Non-invasive Oral Cancer Detection,"Zeng, Haishan",University of British Columbia,British Columbia,Project Grant,202104PJT,Commercialization,742051,0,4 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cancer-Clinical Oncology; Musculoskeletal Health-Oral Health",10/1/2021,2025-09-30,"Autofluorescence, Raman Spectroscopy, Oral Cancer",0
A new cellular immunotherapy to treat acute myeloid leukemia,"Zhang, Li",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,183670,35500,1 yr 0 mth ,Cancer Research,MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; CANCER,10/1/2015,2016-09-30,"cellular, immunotherapy, leukemia",7
"""Developing a platform for """"off-the-shelf"""" CAR-T cell therapies for cancer using double negative T cells""","Zhang, Li",University Health Network (Toronto),Ontario,Project Grant,201903PJT,Commercialization,703800,0,4 yrs 0 mth ,Cancer Research,Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,10/1/2019,2023-09-30,"CAR-T, T cells, cancer",5
A diagnostic test for cutaneous T cell lymphomas,"Zhou, Youwen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,151660,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; BLOOD; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2012,2013-09-30,"diagnostic, T cell lymphomas, cutaneous",4
