Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Cherkasov, Artem",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,150030.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,10/1/2014,"small-molecule, androgen receptor, prostate cancer",2.0,,0.0,,70,44
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Development of endorectal MR elastography for prostate cancer detection,153344.0,0.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,4/1/2011,"MR elastography, prostate cancer, detection",0.0,,0.0,,71,45
"Chopra, Rajiv","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,147500.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; CANCER,10/1/2011,"MRI, ultrasound, neoplasms",0.0,,0.0,,72,45
"Coderre, Terence J",McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,10/1/2012,"topical, microvascular, pain",0.0,,0.0,,73,46
"Coles, John G",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Commercialization,Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,512550.0,0.0,3.0,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",4/1/2018,"Integrin, Kinase, Heart Failure",0.0,,0.0,,74,47
"Conway, Edward M",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Novel therapeutic approach for 'wet' and 'dry' age-related macular degeneration,160000.0,0.0,1.0,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; AGING,10/1/2014,"age-related macular degeneration, therapeutic, dry wet",0.0,,0.0,,75,48
"Cripton, Peter A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Pro-Neck-Tor: A helmet to prevent spinal cord injuries occuring during sports and transportation,149752.0,0.0,1.0,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",7/1/2009,"helmet, spinal cord, injuries",2.0,,0.0,,76,49
"Crystal, Eugene","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Three-dimensional Catheter Tracking using a Single Two-dimensional Image,130077.0,12873.0,1.0,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; IMAGING; CARDIOVASCULAR,4/1/2010,"catheter, tracking, imaging",4.0,,0.0,,77,50
"Cummins, Carolyn L",University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Developing a Novel Therapeutic for Cushing's Syndrome,160000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; MUSCULO SKELETAL; DRUG RESEARCH,4/1/2014,"Cushing's Syndrome, Therapeutic",0.0,,0.0,,78,51
"Cunningham, Charles H","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Wire for MRI-Guided Interventions,139840.0,8395.0,1.0,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,10/1/2010,"Wire, MRI, Interventions",1.0,,0.0,,79,52
