Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Mechanisms of Intestinal Tumorigenesis,Cancer; Colo-Rectal Cancer; Digestive Diseases; Genetics,"
PROJECT NARRATIVE
Colorectal cancer is one of the leading causes of cancer death in the United States and therefore a major
public health concern. The proposed project is focused on determining the role of a transcription factor called
Kreppel-like factor 4 (KLF4) in the formation of colorectal cancer. In the current funding period, our group has
continued to uncover that KLF4 as an important suppressor of colorectal cancer formation. We expect that
experiments proposed in the next funding period will further increase the understanding of the mechanism by
which KLF4 is involved in the pathogenesis of colorectal cancer. This knowledge may contribute to the
diagnosis, prevention or treatment of this lethal disease.",NCI,2R01CA084197-12,2,R01,CA,12,,2000-01-01,2015-01-31,Special Emphasis Panel[ZRG1 DKUS-C (03)],,"YANG, VINCENT W",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-04-01,2011-08-31,,393.0,Non-SBIR/STTR,2010,776736.0,,NCI,255408.0,140474.0,,395882.0,"intestinal, tumorigenesis, mechanisms",2,0,0
Mobile Health Intervention to Increase HIV Self Testing and Linkage to Services for High-Risk Men in China,Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Dissemination and Implementation Research; HIV/AIDS; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Health Services; Infectious Diseases; Mental Health; Networking and Information Technology R&D (NITRD); Prevention; Social Determinants of Health; Telehealth,"PROJECT NARRATIVE
This project has the potential to improve the science and implementation of app-based mobile health
approaches to optimize both HIV testing and linkage to care as part of a single intervention continuum with
MSM. The proposed research can provide evidence of the impact of this intervention approach on repeated
HIV self-testing and linkage to care, and can hasten the translation of this approach to resource-limited areas
in the US and elsewhere in the developing world where HIV testing and linkage to care services are sub-
optimal.",NIMH,5R01MH123352-05,5,R01,MH,5,,2020-04-01,2026-01-31,HIV/AIDS Intra- and Inter-personal Determinants and Behavioral Interventions Study Section[HIBI],,"OPERARIO, DON ","YANG, CUI ",5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2024-02-01,2026-01-31,,242.0,Non-SBIR/STTR,2024,1057295.0,,NIMH,514405.0,25013.0,,539418.0,"Mobile health, HIV, self-testing",0,0,0
Molecular Drivers of Human Gliogenesis,Genetics; Human Genome; Mental Health; Neurosciences; Stem Cell Research; Stem Cell Research - Induced Pluripotent Stem Cell; Stem Cell Research - Induced Pluripotent Stem Cell - Human,"Project Narrative
Astrocytes are the most abundant cell type in the mammalian nervous system and actively contribute to neural
circuit formation by influencing the neurons around them. The precise timing by which neural stem cells
transition from generating neurons to astrocytes is an important variable in the formation of proper neural
circuits and has been implicated in various neurodevelopmental disorders. This proposal uses genomic and stem
cell-based approaches to identify the cellular origins of human astrocytes and the molecular pathways that drive
gliogenesis. Together, this knowledge will help reveal new avenues for studying the pathogenesis and therapeutic
strategies of neurodevelopmental disorders.",NIMH,1R01MH125956-01A1,1,R01,MH,1,A1,2021-08-01,2026-05-31,Neurogenesis and Cell Fate Study Section[NCF],,"SLOAN, STEVEN A",Not Applicable,5,GENETICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-08-01,2025-05-31,,242.0,Non-SBIR/STTR,2021,2424688.0,,NIMH,458942.0,208536.0,,667478.0,"Molecular, Gliogenesis, Human",1,0,0
Regulation of Platelet Integrin Signaling in Hemostasis and Thrombosis,Cardiovascular; Hematology,"PUBLIC HEALTH RELEVANCE: Platelet aggregation is critical for hemostasis but can also lead to arterial thrombosis, a cause of heart attack and stroke. The studies proposed here will test how specific proteins function to regulate platelet aggregation. Insights gained into the regulation of platelet aggregation may provide new therapeutic targets for the prevention and treatment of arterial thrombosis.",NHLBI,5R01HL117061-04,5,R01,HL,4,,2013-06-01,2020-05-31,Hemostasis and Thrombosis Study Section.  Committee was terminated on 11/30/2020. [HT],,"PETRICH, BRIAN G",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-06-01,2020-05-31,,839.0,Non-SBIR/STTR,2015,1338587.0,,NHLBI,221625.0,124110.0,,345735.0,"Platelet, Integrin, Hemostasis",0,0,0
Role of novel histone modifications and variants in transcriptional regulation,Genetics,"PROJECT NARRATIVE
Histone dependent gene regulation is frequently dysregulated in disease. We have identified a novel histone H3
modification and pathogenic H3 variants that modulate proximal histone modification and alter gene expression,
and propose to investigate their molecular mechanisms of action. These studies will advance our understanding
of how histone-dependent gene expression governs functional biological changes that may underlie human
disease.",NIGMS,1R35GM150587-01,1,R35,GM,1,,2023-08-01,2028-07-31,Special Emphasis Panel[ZRG1 MGG-J (55)],,"SPANGLE, JENNIFER MARIE",Not Applicable,5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-08-01,2025-07-31,,859.0,Non-SBIR/STTR,2023,770961.0,,NIGMS,250000.0,135755.0,,385755.0,"histone modifications, transcriptional regulation, variants",0,0,0
Cadmium and Arsenic Effects on Pyrimidine Biosynthesis in Early Airway Development,Endocrine Disruptors; Foodborne Illness; Genetics; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Lung; Nutrition; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Prevention; Social Determinants of Health; Women's Health,"Project Narrative
Prenatal exposure to unsafe levels of heavy metals such as cadmium and arsenic through food and drinking
water is an unavoidable risk factor concerning communities with disproportionately high burden of airway
disorders, healthcare disparity and environmental injustice. There are no effective prevention and intervention
strategies against prenatal exposures due to the lack of understanding in abnormal vs normal airway
development modulated by environmental stressors. This application will provide critical mechanistic
information on how prenatal exposures at human-relevant levels quantitatively impact airway development and
growth in mouse models.",NHLBI,1R01HL166455-01,1,R01,HL,1,,2023-03-05,2027-02-28,Systemic Injury by Environmental Exposure[SIEE],,"HU, XIN ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2023-03-05,2025-02-28,,838.0,Non-SBIR/STTR,2023,782500.0,,NHLBI,250000.0,141250.0,,391250.0,"Cadmium, Arsenic, Pyrimidine biosynthesis",0,0,0
Cerebral hemodynamic impairment in symptomatic and asymptomatic Alzheimer's Disease,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Biomedical Imaging; Brain Disorders; Cerebrovascular; Clinical Research; Dementia; Neurodegenerative; Neurosciences; Vascular Cognitive Impairment/Dementia,"Project Narrative
Alzheimer's Disease (AD) is rapidly becoming an overwhelming economic and social burden. This
proposal will study cerebrovascular function, diffusion measures of white matter injury in the early
phases of AD, and use these measures to predict cognitive decline in subjects with AD pathology.
Successful execution of the study will provide a better understanding of the interaction between
cerebrovascular and AD pathology in the early phases of AD that could eventually lead to the
development of effective multi-component therapeutic interventions of AD that target both AD and
vascular pathologies.",NIA,1R01AG072603-01A1,1,R01,AG,1,A1,2022-02-01,2027-01-31,Clinical Neuroscience and Neurodegeneration Study Section[CNN],,"QIU, DEQIANG ",Not Applicable,5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-02-01,2025-01-31,,866.0,Non-SBIR/STTR,2022,2647701.0,,NIA,550578.0,306949.0,,857527.0,"Cerebral, Hemodynamic, Alzheimer's",0,0,0
Elucidating the role of the gut reservoir and inflammation in driving cardiovascular disease among persons living with HIV,Cardiovascular; Clinical Research; HIV/AIDS; Heart Disease; Infectious Diseases; Prevention; Women's Health,"PROJECT NARRATIVE
Cardiovascular disease (CVD) accounts for significant morbidity and mortality among persons living with HIV
(PWH), even with sustained virologic suppression on modern antiretroviral therapy (ART). The gut mucosa is
a key reservoir and site of ongoing immune dysregulation in ART-treated PWH. Using complementary
expertise in HIV reservoirs and comorbidities, basic virology/immunology, and cardiovascular
clinical/translational research, we propose to define how gut HIV persistence promotes mucosal immune
dysregulation and bacterial translocation to drive inflammation and subclinical CVD, providing a framework to
identify new therapeutic targets.",NHLBI,1R01HL166004-01,1,R01,HL,1,,2022-07-22,2026-06-30,HIV Comorbidities and Clinical Studies Study Section[HCCS],,"LAHIRI, CECILE DELILLE","GAVEGNANO, CHRISTINA ;PEREIRA RIBEIRO, SUSAN ",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-07-22,2025-06-30,,837.0,Non-SBIR/STTR,2022,2219063.0,,NHLBI,474487.0,268085.0,,742572.0,"gut, inflammation, cardiovascular disease",0,0,0
Fusing motor neuroscience and artificial intelligence to create next-generation neural prostheses.,Assistive Technology; Bioengineering; Clinical Research; Clinical Trials and Supportive Activities; Health Disparities; Machine Learning and Artificial Intelligence; Minority Health; Networking and Information Technology R&D (NITRD); Neurosciences; Rehabilitation,"PUBLIC HEALTH STATEMENT
Brain-machine interfaces (BMIs) provide a pathway to restore function for people who are
paralyzed, such as those with spinal cord injury or amyotrophic lateral sclerosis. This proposal
aims to substantially increase the performance and robustness of BMIs by combining new
developments from the field of artificial intelligence with recent advances in our understanding of
brain function, with the goal of improving quality of life for people with severe movement
disabilities.",NINDS,1DP2NS127291-01,1,DP2,NS,1,,2021-09-01,2026-08-31,Special Emphasis Panel[ZRG1 CVRS-A (70)],,"PANDARINATH, CHETHAN ",Not Applicable,5,BIOMEDICAL ENGINEERING,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-09-01,2026-08-31,,853.0,Non-SBIR/STTR,2021,2405055.0,,OD,1068909.0,382282.0,,1451191.0,"neural prostheses, neuroscience, artificial intelligence",1,0,0
Heart rate variability as a modifiable biomarker of clinical symptoms and psychological functioning in pediatric patients with inflammatory bowel disease,Autoimmune Disease; Behavioral and Social Science; Brain Disorders; Clinical Research; Complementary and Integrative Health; Crohn's Disease; Depression; Digestive Diseases; Inflammatory Bowel Disease; Mental Health; Mental Illness; Neurosciences; Pediatric,"PROJECT NARRATIVE
Inflammatory bowel diseases (IBD), including Crohnes disease and ulcerative colitis, place children and
adolescents at increased risk for developing chronic anxiety and depression problems, yet there is incomplete
understanding of the mechanisms that drive this increased risk of psychological difficulties. This research will
explore heart rate variability (HRV), an index of autonomic nervous system functioning, as a biomarker of
clinical symptoms of IBD, anxiety, and depression in youth with IBD. The long-term goal of this research is to
determine if HRV can be used as a modifiable biomarker to predict treatment outcome and to track change
over time during HRV biofeedback treatment.",NIDDK,1R03DK136975-01,1,R03,DK,1,,2023-08-15,2026-06-30,Special Emphasis Panel[ZDK1 GRB-7 (M1)],,"REED, BONNEY ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2023-08-15,2026-06-30,,847.0,Non-SBIR/STTR,2023,234750.0,,NIDDK,150000.0,84750.0,,234750.0,"heart rate, biomarker, inflammatory bowel disease",0,0,0
Self-administered microneedle patch for long-acting release of antiretroviral agents,Behavioral and Social Science; Bioengineering; Biotechnology; HIV/AIDS; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Prevention,"PROJECT NARRATIVE
Despite the availability of antiviral drugs as treatment and prevention strategies for HIV, there is still no cure and
there are ongoing challenges with adherence and delivery of current daily regimens. Our approach is to develop
a new slow-releasing formulation for highly potent antiviral drugs that will provide a novel delivery system using
biodegradable microneedle patches that can be painlessly self-administered and can be used in adult and
pediatric populations. This approach could provide a strategy for simplified, long-term administration of antiviral
drugs for up to several months to increase medication adherence and treatment efficacy.",NIAID,1R21AI186628-01,1,R21,AI,1,,2024-07-08,2026-05-31,"HIV Molecular Virology, Cell Biology, and Drug Development Study Section[HVCD]",,"TAO, SIJIA ","PRAUSNITZ, MARK R.",5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-07-08,2025-05-31,,855.0,Non-SBIR/STTR,2024,224595.0,,NIAID,173745.0,50850.0,,224595.0,"microneedle, patch, antiretroviral",0,0,0
A novel gene therapy for motor symptoms of Parkinson's disease,Aging; Biotechnology; Brain Disorders; Gene Therapy; Genetics; Neurodegenerative; Neurosciences; Parkinson's Disease,"Project Narrative
Motor symptoms of Parkinsones disease remain a major disability for a large number of
patients over the chronic course of the disease, and available treatments often cause
additional motor abnormalities. This project investigates a gene therapy using novel
technologies to selectively control mechanisms of dysfunction in affected brain areas.
Results of these studies will significantly contribute to the development of a new therapy
to improve motor disability in patients with Parkinsones disease.",NINDS,1R21NS110416-01A1,1,R21,NS,1,A1,2019-09-15,2022-08-31,Special Emphasis Panel[ZRG1 BDCN-E (02)],,"PAPA, STELLA M",Not Applicable,5,NEUROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-09-15,2022-08-31,,853.0,Non-SBIR/STTR,2019,483025.0,,NINDS,275000.0,208025.0,,483025.0,"gene therapy, Parkinson's disease, motor symptoms",1,0,0
