Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Merali, Zulfiquar",University of Ottawa,Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress-reducing effects of palatable foods: brain mechanisms and implications for obesity,"$668,675",$0,5 yrs 0 mth 
"Metz, Gerlinde",University of Lethbridge (Alberta),Operating Grant,200909MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,New Directions in Stroke Prevention and Rehabilitation,"$804,380",$0,5 yrs 0 mth 
"Mishra, Ram K",McMaster University,Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of Synapsin II in Schizophrenia,"$594,780",$0,5 yrs 0 mth 
"Mohajerani, Majid",University of Lethbridge (Alberta),Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Probing the link between amyloid deposition, cortico-hippocampal network dysfunction and cognitive impairment in a second generation of transgenic mouse model of Alzheimer's disease","$688,500",$0,5 yrs 0 mth 
"Mohajerani, Majid",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202309PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Targeting KCC2 as a strategy for rescuing functional impairments associated with brain aging and Alzheimer's disease,"$1,109,250",$0,5 yrs 0 mth 
"Mongrain, Valérie",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of Neuroligin 1 in Sleep Homeostasis,"$551,210",$0,5 yrs 0 mth 
"Mongrain, Valérie",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Defining interrelationships between brain region-specific structural plasticity and sleep electrophysiology via the integration of sex and learning,"$925,650",$0,5 yrs 0 mth 
"Morshead, Cindi M",University of Toronto,Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Promoting cognitive recovery using endogenous neural stem cell activation and rehabilitation following stroke,"$992,394",$0,5 yrs 0 mth 
"Murphy-Royal, Ciaran",Centre hospitalier de l'Université de Montréal (CHUM),Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of astrocytes in early-life stress-induced behavioural dysfunction,"$841,500",$0,5 yrs 0 mth 
"Nader, Karim K",McGill University,Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The behavioral readout of long term plasticity is an active molecular process.,"$684,030",$0,5 yrs 0 mth 
"Niles, Lennard P",McMaster University,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neuroprotection by Melatonin in Parkinson's Disease,"$335,086",$0,3 yrs 0 mth 
"Ohyama, Tomoko",McGill University,Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Role of Octopamine, a Homologue of Noradrenalin, in Experience-dependent Nociceptive Sensitization","$726,750",$0,5 yrs 0 mth 
"Pandey, Siyaram",University of Windsor (Ontario),Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigation of mechanisms and efficacy of neuroprotection by water-soluble coenzyme Q10 in a cellualr an animal model of Parkinson's Disease and its effects on behavioural changes,"$302,088",$0,3 yrs 0 mth 
"Parker, Linda A",University of Guelph,Operating Grant,201505MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Endocannabinoid regulation of nausea in the visceral insular cortex:  Assessment by conditioned gaping in rats,"$100,000",$0,1 yr 0 mth 
"Parker, Linda A",University of Guelph,Operating Grant,201405MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Endocannabinoid regulation of nausea in the visceral insular cortex:  Assessment by conditioned gaping in rats,"$100,000",$0,1 yr 0 mth 
"Parker, Linda A",University of Guelph,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Regulation of acute nausea:  Cannabinoid/Serotonin interactions in the interoceptive insular cortex,"$313,650",$0,3 yrs 0 mth 
"Peever, John H",University of Toronto,Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The neural basis of cataplexy,"$784,670",$0,5 yrs 0 mth 
"Peever, John H",University of Toronto,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Mechanisms of REM sleep behaviour disorder,"$768,826",$0,5 yrs 0 mth 
"Phillips, Anthony G",University of British Columbia,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of ionotropic glutamate receptors and synaptic plasticity in development of novel fast-acting antidepressants.,"$967,725",$0,5 yrs 0 mth 
"Pittman, Quentin J",University of Calgary,Operating Grant,201309MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Co-morbid behaviors in Multiple Sclerosis: a mechanistic investigation in the EAE rodent model,"$782,976",$0,5 yrs 0 mth 
"Pittman, Quentin J",University of Calgary,Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neonatal programming by inflammation.,"$1,021,295",$0,5 yrs 0 mth 
"Pittman, Quentin J",University of Calgary,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Peripheral Inflammation and Anxiety: Role of Endocannabinoid Signaling in the Amygdala,"$868,276",$0,5 yrs 0 mth 
"Prevot, Thomas D",Centre for Addiction and Mental Health (Toronto),Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,GABAA Receptor-Specific Regulation Of Cortisol Release In Stress-Related Depression,"$619,650",$0,5 yrs 0 mth 
"Ramsey, Amy J",University of Toronto,Operating Grant,201403MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Plasticity of neural circuits relevant to schizophrenia,"$428,291",$0,3 yrs 0 mth 
"Ramsey, Amy J",University of Toronto,Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Reversing developmental consequences of NMDA receptor dysfunction in a mouse model of schizophrenia.,"$459,204",$0,3 yrs 0 mth 
"Ramsey, Amy J",University of Toronto,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Improving treatment for GRIN disorders,"$868,275",$0,5 yrs 0 mth 
"Rankin, Catharine H",University of British Columbia,Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating behavioural phenotype and function of networks of genes implicated in neurological and psychiatric disorders using an invertebrate animal model,"$680,338",$0,5 yrs 0 mth 
"Rankin, Catharine H",University of British Columbia,Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,In vivo functional characterization of Parkinson's disease linked genes and identification of the best candidate genes of Parkinson's Disease GWAS loci using Caenorhabditis elegans.,"$1,013,626",$0,5 yrs 0 mth 
"Rompré, Pierre-Paul",Université de Montréal,Operating Grant,200909MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurotensin modulation of limbic neurotransmission,"$759,453",$0,5 yrs 0 mth 
"Rozeske, Robert R",University of Toronto,Project Grant,202309PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Prefrontal mechanisms of context-guided threat behaviour,"$963,900",$0,5 yrs 0 mth 
"Sakata, Jon",McGill University,Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Contribution of perineuronal nets in motor circuitry to motor skill performance and acquisition,"$761,176",$0,5 yrs 0 mth 
"Salahpour, Ali",University of Toronto,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurochemical and behavioural characterisation of a novel Dopamine Transporter Deficiency Syndrome mouse model.,"$814,725",$0,5 yrs 0 mth 
"Samaha, Anne-Noël",Université de Montréal,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,How does the rate of drug delivery influence the potential for addiction?,"$437,570",$0,3 yrs 0 mth 
"Samaha, Anne-Noël",Université de Montréal,Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,How does rapid drug delivery promote compulsive drug use?,"$585,206",$0,5 yrs 0 mth 
"Samaha, Anne-Noël",Université de Montréal,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Modeling the Transition to Cocaine Addiction in Rats,"$910,350",$0,5 yrs 0 mth 
"Samaha, Anne-Noël",Université de Montréal,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Modeling cue-triggered relapse to cocaine use in rats,"$1,048,050",$0,5 yrs 0 mth 
"Sargin, Derya",University of Calgary,Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The Role of Orexin/Hypocretin in Isolation-induced Social Deficits,"$753,526",$0,5 yrs 0 mth 
"Scantlebury, Morris; Gavrilovici, Cezar; Pittman, Quentin J",University of Calgary,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of the acid sensing ion channel (ASIC) 1a in the mechanism of action of the ketogenic diet in infantile spasms,"$1,128,376",$0,5 yrs 0 mth 
"Schmid, Susanne K",Western University (Ontario),Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of Bk channel in sensory filtering,"$625,890",$0,5 yrs 0 mth 
"Schmid, Susanne K; Allman, Brian",Western University (Ontario),Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Sensory processing impairments in autism,"$830,025",$0,5 yrs 0 mth 
"Schricker, Thomas Peter S",McGill University,Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Anesthesia-induced memory impairment is mediated by a specific loss of inhibitory neurons,"$956,250",$0,5 yrs 0 mth 
"Seamans, Jeremy K",University of British Columbia,Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dopamine modulation of prefrontal cortex network activity,"$642,239",$0,5 yrs 0 mth 
"Seamans, Jeremy K",University of British Columbia,Operating Grant,201403MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A mechanistic investigation into the role of the medial frontal cortex in addiction,"$727,760",$0,5 yrs 0 mth 
"Seamans, Jeremy K",University of British Columbia,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,How is anxiety represented in the anterior cingulate cortex?,"$703,800",$0,5 yrs 0 mth 
"Seamans, Jeremy K",University of British Columbia,Project Grant,201710PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,How is anxiety represented in the anterior cingulate cortex?,"$100,000",$0,1 yr 0 mth 
"Semba, Kazue",Dalhousie University (Nova Scotia),Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Basal forebrain regulation of sleep-wake state.,"$721,560",$0,5 yrs 0 mth 
"Semba, Kazue",Dalhousie University (Nova Scotia),Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurobehavioural impacts of chronic sleep restriction,"$606,708",$0,5 yrs 0 mth 
"Shalev, Uri","Concordia University (Montreal, Quebec)",Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress-induced relapse following voluntary abstinence: model characterization and critical neural pathways,"$596,700",$0,5 yrs 0 mth 
"Silasi, Gergely",University of Ottawa,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Impact of regional microinfarct load on cortical reorganization and stroke recovery,"$827,155",$0,5 yrs 0 mth 
"Snead, Orlando C",Hospital for Sick Children (Toronto),Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Infantile Spasms in Down Syndrome: Correction of the Epileptic Phenotype,"$914,579",$0,5 yrs 0 mth 
"Snyder, Jason S",University of British Columbia,Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Tau pathology and circuit vulnerability in the hippocampal memory system,"$983,026",$0,5 yrs 0 mth 
"Snyder, Jason S",University of British Columbia,Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Understanding the amnestic side effects of electroconvulsive shock,"$787,950",$0,5 yrs 0 mth 
"Soma, Kiran K",University of British Columbia,Operating Grant,201309MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neuroendocrine regulation of adult neuroplasticity and behaviour,"$711,773",$0,5 yrs 0 mth 
"Soma, Kiran K",University of British Columbia,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurosteroid regulation of executive function,"$956,250",$0,5 yrs 0 mth 
"Srivastava, Lalit K",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Reorganization of adult prefrontal cortex plasticity and function by neonatal hippocampus lesion - role of cortical alpha-1 adrenergic receptor signaling.,"$796,550",$0,5 yrs 0 mth 
"Srivastava, Lalit K",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of developing hippocampus in organizing prefrontal cortical functions,"$667,165",$0,5 yrs 0 mth 
"Srivastava, Lalit K",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of adolescent ventral hippocampus in the development of corticolimbic system and behaviors related to neurodevelopmental disorders.,"$925,650",$0,5 yrs 0 mth 
"Stellwagen, David",Research Institute of the McGill University Health Centre,Project Grant,201809PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Microglial regulation of cocaine self-administration in rats,"$856,800",$0,5 yrs 0 mth 
